sales_agent_name,product_name,total_sold_units
Olivia Davis,Monitor,3744
Christopher Miller,Hoodie,1848
john wick,Headphones,800
Michael Johnson,Skirt,1700
David Wilson,Smartphone,5152
Michael Johnson,Washing Machine,4940
David Wilson,Hoodie,3432
Daniel Martinez,Jeans,3248
Emma Taylor,Vacuum Cleaner,4116
Sophia Moore,Blouse,4536
Olivia Davis,Laptop,2538
Daniel Martinez,Heels,3800
john wick,Blouse,3456
Michael Johnson,Jeans,2688
Emily Brown,Coffee Maker,8640
Jane Smith,Electric Kettle,2184
David Wilson,Sneakers,924
Sophia Moore,Heels,3500
Emma Taylor,T-Shirt,2352
john wick,Jeans,896
David Wilson,Blouse,4644
Emily Brown,Toaster,3360
John Doe,Toaster,1920
Emma Taylor,Jeans,3584
Jane Smith,Skirt,4700
David Wilson,Monitor,3198
Sophia Moore,Electric Kettle,420
john wick,Hair Dryer,1080
Jane Smith,Blouse,4428
Emma Taylor,Smartphone,5704
Daniel Martinez,Camera,2760
Olivia Davis,Toaster,2880
Emily Brown,Sneakers,2604
Olivia Davis,Smartphone,2760
Sophia Moore,Vacuum Cleaner,756
john wick,Washing Machine,1430
Jane Smith,T-Shirt,1904
John Doe,Jeans,1344
Olivia Davis,Boots,4730
Emily Brown,Dress,5428
john wick,TV,1224
David Wilson,Skirt,4500
Olivia Davis,Hoodie,2640
John Doe,Skirt,2300
Michael Johnson,Heels,2100
Michael Johnson,Sandals,2142
Jane Smith,Headphones,1360
Daniel Martinez,T-Shirt,3920
Daniel Martinez,TV,1326
Jane Smith,Boots,1296
Michael Johnson,Hair Straightener,6270
Christopher Miller,Coffee Maker,6336
David Wilson,Sandals,3024
Emily Brown,Printer,1748
John Doe,Electric Kettle,1932
Emily Brown,Hoodie,3696
Emily Brown,Blouse,3564
john wick,Heels,300
Emily Brown,Electric Kettle,2268
john wick,Sneakers,2940
Emily Brown,Iron,8614
David Wilson,Hair Dryer,6840
Christopher Miller,Laptop,7238
Jane Smith,TV,1632
David Wilson,Coffee Maker,4464
Michael Johnson,Laptop,4324
Michael Johnson,Printer,1564
David Wilson,Blender,4224
Jane Smith,Washing Machine,780
Christopher Miller,Boots,1944
Emma Taylor,Sneakers,3108
Michael Johnson,Smartphone,3496
Emily Brown,Laptop,4418
Jane Smith,Vacuum Cleaner,4452
John Doe,Hoodie,2024
Emma Taylor,Coffee Maker,7344
John Doe,Hair Dryer,3360
Jane Smith,Heels,1700
Emily Brown,Washing Machine,7800
Daniel Martinez,Monitor,4134
Olivia Davis,Coffee Maker,10368
Olivia Davis,Microwave,3744
Emma Taylor,Laptop,2820
David Wilson,T-Shirt,2800
Jane Smith,Microwave,2592
Emma Taylor,Monitor,2886
Christopher Miller,Sneakers,3192
Daniel Martinez,Washing Machine,8320
John Doe,T-Shirt,3360
David Wilson,Laptop,7050
David Wilson,Iron,3894
Jane Smith,Camera,3496
Michael Johnson,Blouse,6048
Michael Johnson,Iron,6490
Michael Johnson,Microwave,2952
Sophia Moore,Printer,2576
Christopher Miller,Hair Straightener,3520
John Doe,Tablet,6724
Michael Johnson,Monitor,1404
Sophia Moore,Hair Dryer,3120
Daniel Martinez,Boots,7884
Emma Taylor,Hair Dryer,2160
Jane Smith,Printer,3680
Michael Johnson,Boots,3672
john wick,Monitor,936
Michael Johnson,Hair Dryer,4200
Christopher Miller,Iron,3776
John Doe,Washing Machine,6110
Sophia Moore,Skirt,3200
John Doe,Camera,2852
john wick,Microwave,864
Christopher Miller,Microwave,720
Emily Brown,Hair Dryer,6360
Emily Brown,Camera,552
Olivia Davis,Electric Kettle,4200
John Doe,Sandals,3956
Emma Taylor,Hair Straightener,4400
Olivia Davis,Camera,4232
john wick,Iron,1062
john wick,Smartphone,552
John Doe,Boots,2150
Olivia Davis,Sandals,7182
Jane Smith,Hoodie,4312
David Wilson,Vacuum Cleaner,3024
Christopher Miller,Blender,768
Emma Taylor,Washing Machine,4420
Daniel Martinez,Skirt,4700
Michael Johnson,Sandals,2024
Daniel Martinez,Tablet,2050
Olivia Davis,T-Shirt,4816
Christopher Miller,Headphones,1520
John Doe,Vacuum Cleaner,3108
Emily Brown,TV,5610
David Wilson,Toaster,5568
Daniel Martinez,Hoodie,5104
Daniel Martinez,Sandals,2268
David Wilson,Camera,3772
Emily Brown,Headphones,4320
john wick,Hair Straightener,550
Emily Brown,T-Shirt,3920
Emily Brown,Hair Straightener,3410
Emily Brown,Skirt,4400
Sophia Moore,Microwave,2808
Sophia Moore,Sneakers,840
John Doe,Dress,1888
Jane Smith,Blender,4128
Emma Taylor,Electric Kettle,4368
Sophia Moore,Smartphone,2760
David Wilson,Boots,4752
Daniel Martinez,Electric Kettle,4200
Olivia Davis,Sandals,3312
John Doe,Printer,3864
Michael Johnson,TV,4488
Emma Taylor,TV,5406
Christopher Miller,Hair Dryer,5520
Emma Taylor,Blender,3168
David Wilson,Microwave,2520
Olivia Davis,Skirt,1200
Olivia Davis,Headphones,5280
Michael Johnson,Vacuum Cleaner,4872
john wick,Boots,688
Emily Brown,Jeans,6048
john wick,Boots,1944
john wick,Toaster,960
Sophia Moore,Toaster,960
Daniel Martinez,Blender,6816
John Doe,Blouse,3996
Emily Brown,Boots,3268
Sophia Moore,Laptop,5076
Jane Smith,Smartphone,4784
Christopher Miller,Monitor,2964
David Wilson,Printer,2576
Olivia Davis,Jeans,2688
David Wilson,Boots,3268
john wick,T-Shirt,1232
John Doe,Blender,5760
Emily Brown,Heels,4500
Emma Taylor,Boots,3784
Christopher Miller,T-Shirt,2912
Daniel Martinez,Blouse,6372
Sophia Moore,Jeans,6272
Christopher Miller,Electric Kettle,1848
Christopher Miller,Vacuum Cleaner,4872
Christopher Miller,Toaster,4320
Daniel Martinez,Smartphone,3128
Christopher Miller,Camera,3956
John Doe,Hair Straightener,6490
David Wilson,Hair Straightener,4400
John Doe,Boots,2268
John Doe,Microwave,3168
Emily Brown,Blender,2208
Jane Smith,Hair Straightener,880
john wick,Printer,1012
Olivia Davis,Heels,3800
Christopher Miller,Smartphone,1012
Sophia Moore,TV,3162
Olivia Davis,Vacuum Cleaner,4704
Michael Johnson,T-Shirt,4368
Emma Taylor,Hoodie,3520
john wick,Dress,2006
Jane Smith,Dress,3422
Christopher Miller,Dress,3540
Jane Smith,Sandals,2576
Daniel Martinez,Hair Dryer,3000
Emily Brown,Smartphone,4416
David Wilson,Tablet,1230
David Wilson,Heels,7300
Daniel Martinez,Sneakers,2772
John Doe,Iron,2124
David Wilson,Washing Machine,6370
Emma Taylor,Heels,4700
Emma Taylor,Printer,4416
John Doe,Monitor,3276
Olivia Davis,Hair Dryer,2520
Emily Brown,Microwave,3528
John Doe,Sneakers,1848
Michael Johnson,Camera,6716
Sophia Moore,Iron,2124
Jane Smith,Boots,860
Jane Smith,Tablet,1804
Emily Brown,Vacuum Cleaner,1764
Emily Brown,Tablet,1558
Sophia Moore,T-Shirt,7056
Emma Taylor,Tablet,2706
Michael Johnson,Dress,4484
Emily Brown,Boots,1944
Sophia Moore,Hair Straightener,5170
Michael Johnson,Blender,5856
Daniel Martinez,Headphones,1120
Emma Taylor,Skirt,1600
Olivia Davis,Tablet,1640
Sophia Moore,Boots,4536
David Wilson,Dress,8968
Emma Taylor,Dress,4602
Emma Taylor,Blouse,2160
Daniel Martinez,Microwave,360
Emily Brown,Sandals,7056
Christopher Miller,Skirt,3300
Jane Smith,Jeans,4704
john wick,Camera,1472
Sophia Moore,Boots,3526
Jane Smith,Hair Dryer,3480
john wick,Sandals,92
Emma Taylor,Boots,4212
Emma Taylor,Sandals,5922
John Doe,Laptop,4136
john wick,Skirt,100
john wick,Sandals,4410
David Wilson,Electric Kettle,2016
John Doe,Heels,6700
Sophia Moore,Hoodie,3608
Christopher Miller,Washing Machine,6500
Christopher Miller,Heels,4200
Olivia Davis,Sneakers,2268
Daniel Martinez,Printer,1564
Jane Smith,Sneakers,420
Emma Taylor,Iron,2596
Jane Smith,Laptop,3760
David Wilson,Sandals,3312
Emily Brown,Sandals,2300
Olivia Davis,Printer,2208
Daniel Martinez,Hair Straightener,3960
Olivia Davis,Dress,2478
Michael Johnson,Electric Kettle,2268
Olivia Davis,Blouse,3132
Jane Smith,Monitor,2184
Olivia Davis,Blender,5952
Daniel Martinez,Coffee Maker,5760
Sophia Moore,Dress,4248
john wick,Blender,384
john wick,Tablet,1312
Michael Johnson,Boots,3010
Emma Taylor,Sandals,1012
Daniel Martinez,Iron,4130
Jane Smith,Coffee Maker,7200
Christopher Miller,Jeans,6944
Sophia Moore,Monitor,2184
Emily Brown,Monitor,1014
John Doe,Sandals,5166
Emma Taylor,Camera,3220
Sophia Moore,Coffee Maker,4752
Christopher Miller,Sandals,4416
john wick,Vacuum Cleaner,1260
Jane Smith,Iron,6136
David Wilson,TV,2754
Christopher Miller,Sandals,4662
Olivia Davis,Iron,5664
Christopher Miller,Blouse,1404
Olivia Davis,Hair Straightener,3960
Olivia Davis,Boots,5076
Daniel Martinez,Dress,6018
Michael Johnson,Headphones,720
John Doe,TV,3978
Christopher Miller,Tablet,3608
Sophia Moore,Washing Machine,6240
David Wilson,Headphones,2560
Michael Johnson,Tablet,3854
Sophia Moore,Sandals,4032
Olivia Davis,Washing Machine,6110
Daniel Martinez,Toaster,3744
Sophia Moore,Tablet,5248
Sophia Moore,Sandals,3128
Christopher Miller,Printer,644
Michael Johnson,Coffee Maker,6336
Jane Smith,Toaster,6720
Emma Taylor,Microwave,1656
Sophia Moore,Headphones,3280
John Doe,Headphones,1760
Sophia Moore,Camera,1288
Daniel Martinez,Vacuum Cleaner,2268
john wick,Coffee Maker,1440
Christopher Miller,Boots,1376
Daniel Martinez,Boots,5504
Sophia Moore,Blender,4896
David Wilson,Jeans,6944
John Doe,Coffee Maker,5616
Emma Taylor,Headphones,2080
Daniel Martinez,Sandals,3036
Jane Smith,Sandals,6048
John Doe,Smartphone,3496
Emma Taylor,Toaster,2976
Olivia Davis,TV,2550
john wick,Hoodie,88
Michael Johnson,Toaster,2304
Daniel Martinez,Laptop,1316
Michael Johnson,Sneakers,1932
